"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-01","0.0","0.0","-3.3","0.6","-5.5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-02","0.0","0.0","1.3","5.0","-0.5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-03","15.7","36.0","-2.1","2.8","-5.5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-04","14.5","0.0","3.5","11.1","1.7"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-05","0.0","0.0","4.2","10.0","-8.2"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-06","0.5","5.0","-8.2","-7.7","-9.3"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-07","0.0","0.0","-7.3","-3.2","-15.5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-08","0.0","0.0","-13.4","-7.1","-18.2"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-09","0.3","5.0","-4.8","-1.0","-7.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-10","0.0","0.0","-5.6","-4.3","-8.2"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-11","0.0","0.0","-6.1","0.6","-9.3"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-12","5.1","0.0","1.7","3.3","0.6"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-13","0.0","0.0","-2.7","1.7","-9.3"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-14","0.0","0.0","-7.6","-3.8","-9.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-15","3.0","20.0","-3.3","-0.5","-3.8"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-16","0.0","0.0","-2.1","3.3","-9.3"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-17","0.0","0.0","-8.8","-5.5","-12.7"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-18","3.8","0.0","-0.2","10.6","-6.6"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-19","0.0","0.0","5.7","7.8","0.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-20","0.0","0.0","0.8","3.9","-2.7"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-21","0.0","0.0","-2.7","1.1","-5.5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-22","0.0","0.0","0.0","2.8","-1.6"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-23","0.0","0.0","-0.7","2.8","-4.3"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-24","18.0","130.0","0.2","1.1","-0.5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-25","0.0","0.0","0.8","3.3","-7.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-26","2.5","58.0","-6.6","-1.6","-11.6"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-27","24.1","561.0","-7.6","-7.1","-9.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-28","0.3","5.0","-8.6","-4.3","-10.5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-29","0.0","0.0","-5.9","0.0","-12.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-30","1.5","18.0","-0.7","1.1","-7.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-31","1.3","33.0","-7.6","-6.0","-11.6"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-01","0.0","0.0","-7.1","-1.0","-11.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-02","19.8","411.0","-6.7","-0.5","-12.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-03","0.0","0.0","-10.5","-5.5","-14.3"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-04","0.3","0.0","-4.9","3.3","-9.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-05","2.3","20.0","-0.7","2.2","-13.8"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-06","0.0","0.0","-11.3","-6.0","-14.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-07","1.8","23.0","-5.2","-1.6","-8.8"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-08","9.4","188.0","-3.6","-1.6","-10.5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-09","22.4","376.0","-8.3","-3.8","-9.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-10","1.3","18.0","-6.7","-1.0","-9.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-11","0.3","13.0","-5.8","-3.8","-9.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-12","0.8","25.0","-6.2","-1.0","-8.8"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-13","0.0","0.0","-8.8","-5.5","-13.8"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-14","5.8","81.0","-10.4","-1.0","-16.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-15","9.9","330.0","-7.1","-6.6","-18.8"
